══════════════════════════════════════════════════════════════════════════════════════════
  SIMULACIÓN SO  –  2026/07/05 22:46:30
══════════════════════════════════════════════════════════════════════════════════════════
PROCESO              CUANTUM    ESTADO                 TRANSICIÓN             PRIORIDAD  RECURSO         MEMORIA   
────────────────────────────────────────────────────────────────────────────────────────────────────
1                    15         Listo                  Despachado             10         —               89 Kb     
2                    5          Listo                  Despachado             1          —               175 Kb    
1                    10         Ejecución              Bloqueado              10         Ratón           89 Kb     
3                    14         Listo                  Despachado             3          —               112 Kb    
2                    0          Ejecución              Terminado              1          —               175 Kb    
4                    1          Listo                  Despachado             7          —               167 Kb    
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Suspendido-bloqueado   10         —               89 Kb     
3                    9          Ejecución              Bloqueado              3          Ratón           112 Kb    
5                    3          Listo                  Despachado             5          —               121 Kb    
2                    0          Ejecución              Terminado              1          —               175 Kb    
4                    0          Ejecución              Terminado              7          —               167 Kb    
6                    5          Listo                  Despachado             5          —               98 Kb     
3                    9          Bloqueado              Bloqueado              3          —               112 Kb    
3                    9          Bloqueado              Bloqueado              3          —               112 Kb    
3                    9          Bloqueado              Bloqueado              3          —               112 Kb    
3                    9          Bloqueado              Bloqueado              3          —               112 Kb    
3                    9          Bloqueado              Bloqueado              3          —               112 Kb    
3                    9          Bloqueado              Despertar              3          —               112 Kb    
5                    0          Ejecución              Terminado              5          —               121 Kb    
7                    3          Listo                  Despachado             6          —               101 Kb    
4                    0          Ejecución              Terminado              7          —               167 Kb    
1                    10         Suspendido-bloqueado   Suspendido-bloqueado   10         —               89 Kb     
1                    10         Suspendido-bloqueado   Bloqueado              10         —               89 Kb     
6                    0          Ejecución              Terminado              5          —               98 Kb     
8                    9          Listo                  Despachado             2          —               91 Kb     
5                    0          Ejecución              Terminado              5          —               121 Kb    
7                    0          Ejecución              Terminado              6          —               101 Kb    
3                    9          Listo                  Despachado             3          —               112 Kb    
6                    0          Ejecución              Terminado              5          —               98 Kb     
8                    4          Ejecución              Vuelve a cola          2          Op. matemática  91 Kb     
9                    2          Listo                  Despachado             1          —               105 Kb    
7                    0          Ejecución              Terminado              6          —               101 Kb    
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Bloqueado              10         —               89 Kb     
1                    10         Bloqueado              Despertar              10         —               89 Kb     
3                    4          Ejecución              Vuelve a cola          3          Op. matemática  112 Kb    
9                    0          Ejecución              Terminado              1          —               105 Kb    
8                    4          Listo                  Despachado             2          —               91 Kb     
10                   10         Listo                  Despachado             4          —               121 Kb    
9                    0          Ejecución              Terminado              1          —               105 Kb    
1                    10         Listo                  Despachado             10         —               89 Kb     
