══════════════════════════════════════════════════════════════════════════════════════════
  SIMULACIÓN SO  –  2026/07/05 21:37:29
══════════════════════════════════════════════════════════════════════════════════════════
PROCESO              CUANTUM    ESTADO                 TRANSICIÓN             PRIORIDAD  RECURSO         MEMORIA   
────────────────────────────────────────────────────────────────────────────────────────────────────
1                    13         Listo                  Despachado             8          —               75 Kb     
2                    7          Listo                  Despachado             1          —               122 Kb    
1                    8          Ejecución              Vuelve a cola          8          Op. matemática  75 Kb     
3                    15         Listo                  Despachado             5          —               115 Kb    
2                    2          Ejecución              Bloqueado              1          Monitor         122 Kb    
3                    10         Ejecución              Vuelve a cola          5          Op. matemática  115 Kb    
1                    8          Listo                  Despachado             8          —               75 Kb     
4                    9          Listo                  Despachado             4          —               77 Kb     
2                    2          Bloqueado              Bloqueado              1          —               122 Kb    
2                    2          Bloqueado              Bloqueado              1          —               122 Kb    
2                    2          Bloqueado              Bloqueado              1          —               122 Kb    
2                    2          Bloqueado              Despertar              1          —               122 Kb    
1                    3          Ejecución              Bloqueado              8          Bocinas         75 Kb     
4                    4          Ejecución              Vuelve a cola          4          Op. matemática  77 Kb     
3                    10         Listo                  Despachado             5          —               115 Kb    
5                    12         Listo                  Despachado             4          —               166 Kb    
1                    3          Bloqueado              Bloqueado              8          —               75 Kb     
1                    3          Bloqueado              Bloqueado              8          —               75 Kb     
1                    3          Bloqueado              Bloqueado              8          —               75 Kb     
1                    3          Bloqueado              Bloqueado              8          —               75 Kb     
1                    3          Bloqueado              Bloqueado              8          —               75 Kb     
1                    3          Bloqueado              Bloqueado              8          —               75 Kb     
1                    3          Bloqueado              Bloqueado              8          —               75 Kb     
1                    3          Bloqueado              Despertar              8          —               75 Kb     
2                    2          Listo                  Despachado             1          —               122 Kb    
3                    5          Ejecución              Bloqueado              5          Impresora       115 Kb    
5                    7          Ejecución              Bloqueado              4          Impresora       166 Kb    
4                    4          Listo                  Despachado             4          —               77 Kb     
2                    0          Ejecución              Terminado              1          —               122 Kb    
6                    7          Listo                  Despachado             4          —               91 Kb     
3                    5          Bloqueado              Bloqueado              5          —               115 Kb    
3                    5          Bloqueado              Despertar              5          —               115 Kb    
5                    7          Bloqueado              Bloqueado              4          —               166 Kb    
5                    7          Bloqueado              Bloqueado              4          —               166 Kb    
5                    7          Bloqueado              Bloqueado              4          —               166 Kb    
5                    7          Bloqueado              Bloqueado              4          —               166 Kb    
5                    7          Bloqueado              Bloqueado              4          —               166 Kb    
5                    7          Bloqueado              Bloqueado              4          —               166 Kb    
5                    7          Bloqueado              Bloqueado              4          —               166 Kb    
5                    7          Bloqueado              Suspendido-bloqueado   4          —               166 Kb    
4                    0          Ejecución              Terminado              4          —               77 Kb     
1                    3          Listo                  Despachado             8          —               75 Kb     
2                    0          Ejecución              Terminado              1          —               122 Kb    
6                    2          Ejecución              Bloqueado              4          Ratón           91 Kb     
4                    0          Ejecución              Terminado              4          —               77 Kb     
1                    0          Ejecución              Terminado              8          —               75 Kb     
3                    5          Listo                  Despachado             5          —               115 Kb    
7                    11         Listo                  Despachado             10         —               168 Kb    
6                    2          Bloqueado              Bloqueado              4          —               91 Kb     
6                    2          Bloqueado              Bloqueado              4          —               91 Kb     
6                    2          Bloqueado              Bloqueado              4          —               91 Kb     
6                    2          Bloqueado              Bloqueado              4          —               91 Kb     
6                    2          Bloqueado              Bloqueado              4          —               91 Kb     
6                    2          Bloqueado              Bloqueado              4          —               91 Kb     
5                    7          Suspendido-bloqueado   Suspendido-bloqueado   4          —               166 Kb    
5                    7          Suspendido-bloqueado   Suspendido-listo       4          —               166 Kb    
6                    2          Bloqueado              Bloqueado              4          —               91 Kb     
