══════════════════════════════════════════════════════════════════════════════════════════
  SIMULACIÓN SO  –  2026/06/29 08:14:17
══════════════════════════════════════════════════════════════════════════════════════════
PROCESO              CUANTUM    ESTADO                 TRANSICIÓN             PRIORIDAD  RECURSO         MEMORIA   
────────────────────────────────────────────────────────────────────────────────────────────────────
1                    12         Listo                  Despachado             6          —               47 Kb     
2                    15         Listo                  Despachado             4          —               45 Kb     
1                    7          Ejecución              Vuelve a cola          6          Op. matemática  47 Kb     
3                    13         Listo                  Despachado             5          —               11 Kb     
2                    10         Ejecución              Bloqueado              4          Ratón           45 Kb     
3                    8          Ejecución              Bloqueado              5          Ratón           11 Kb     
1                    7          Listo                  Despachado             6          —               47 Kb     
4                    15         Listo                  Despachado             10         —               78 Kb     
2                    10         Bloqueado              Bloqueado              4          —               45 Kb     
2                    10         Bloqueado              Despertar              4          —               45 Kb     
5                    15         Listo                  Despachado             2          —               57 Kb     
3                    8          Bloqueado              Bloqueado              5          —               11 Kb     
3                    8          Bloqueado              Suspendido-bloqueado   5          —               11 Kb     
1                    2          Ejecución              Bloqueado              6          Impresora       47 Kb     
4                    10         Ejecución              Bloqueado              10         Monitor         78 Kb     
6                    14         Listo                  Despachado             6          —               49 Kb     
5                    10         Ejecución              Bloqueado              2          Teclado         57 Kb     
1                    2          Bloqueado              Bloqueado              6          —               47 Kb     
1                    2          Bloqueado              Despertar              6          —               47 Kb     
2                    10         Listo                  Despachado             4          —               45 Kb     
4                    10         Bloqueado              Bloqueado              10         —               78 Kb     
4                    10         Bloqueado              Suspendido-bloqueado   10         —               78 Kb     
6                    9          Ejecución              Bloqueado              6          Ratón           49 Kb     
7                    3          Listo                  Despachado             7          —               91 Kb     
5                    10         Bloqueado              Bloqueado              2          —               57 Kb     
5                    10         Bloqueado              Despertar              2          —               57 Kb     
3                    8          Suspendido-bloqueado   Suspendido-bloqueado   5          —               11 Kb     
3                    8          Suspendido-bloqueado   Suspendido-listo       5          —               11 Kb     
2                    5          Ejecución              Vuelve a cola          4          Op. matemática  45 Kb     
6                    9          Bloqueado              Bloqueado              6          —               49 Kb     
6                    9          Bloqueado              Bloqueado              6          —               49 Kb     
6                    9          Bloqueado              Bloqueado              6          —               49 Kb     
6                    9          Bloqueado              Bloqueado              6          —               49 Kb     
6                    9          Bloqueado              Bloqueado              6          —               49 Kb     
6                    9          Bloqueado              Bloqueado              6          —               49 Kb     
6                    9          Bloqueado              Bloqueado              6          —               49 Kb     
6                    9          Bloqueado              Suspendido-bloqueado   6          —               49 Kb     
7                    0          Ejecución              Terminado              7          —               91 Kb     
3                    8          Suspendido-Listo       Formado                5          —               11 Kb     
1                    2          Listo                  Despachado             6          —               47 Kb     
4                    10         Suspendido-bloqueado   Suspendido-bloqueado   10         —               78 Kb     
4                    10         Suspendido-bloqueado   Suspendido-listo       10         —               78 Kb     
4                    8          Listo                  Despachado             1          —               21 Kb     
10                   8          Listo                  Despachado             1          —               62 Kb     
4                    3          Ejecución              Bloqueado              1          Bocinas         21 Kb     
29                   15         Listo                  Despachado             1          —               38 Kb     
10                   3          Ejecución              Vuelve a cola          1          Op. matemática  62 Kb     
33                   11         Listo                  Despachado             1          —               39 Kb     
4                    3          Bloqueado              Bloqueado              1          —               21 Kb     
4                    3          Bloqueado              Suspendido-bloqueado   1          —               21 Kb     
29                   10         Ejecución              Bloqueado              1          Teclado         38 Kb     
