══════════════════════════════════════════════════════════════════════════════════════════
  SIMULACIÓN SO  –  2026/07/05 21:17:51
══════════════════════════════════════════════════════════════════════════════════════════
PROCESO              CUANTUM    ESTADO                 TRANSICIÓN             PRIORIDAD  RECURSO         MEMORIA   
────────────────────────────────────────────────────────────────────────────────────────────────────
1                    11         Listo                  Despachado             10         —               17 Kb     
2                    9          Listo                  Despachado             5          —               18 Kb     
1                    6          Ejecución              Vuelve a cola          10         Op. matemática  17 Kb     
3                    6          Listo                  Despachado             2          —               11 Kb     
2                    4          Ejecución              Bloqueado              5          Teclado         18 Kb     
3                    1          Ejecución              Bloqueado              2          Teclado         11 Kb     
1                    6          Listo                  Despachado             10         —               17 Kb     
4                    14         Listo                  Despachado             9          —               72 Kb     
2                    4          Bloqueado              Bloqueado              5          —               18 Kb     
2                    4          Bloqueado              Despertar              5          —               18 Kb     
5                    14         Listo                  Despachado             8          —               58 Kb     
3                    1          Bloqueado              Bloqueado              2          —               11 Kb     
3                    1          Bloqueado              Despertar              2          —               11 Kb     
1                    1          Ejecución              Vuelve a cola          10         Op. matemática  17 Kb     
4                    9          Ejecución              Bloqueado              9          Teclado         72 Kb     
6                    8          Listo                  Despachado             4          —               18 Kb     
5                    9          Ejecución              Bloqueado              8          Bocinas         58 Kb     
4                    9          Bloqueado              Bloqueado              9          —               72 Kb     
4                    9          Bloqueado              Bloqueado              9          —               72 Kb     
4                    9          Bloqueado              Bloqueado              9          —               72 Kb     
4                    9          Bloqueado              Suspendido-bloqueado   9          —               72 Kb     
6                    3          Ejecución              Bloqueado              4          Teclado         18 Kb     
1                    1          Listo                  Despachado             10         —               17 Kb     
2                    4          Listo                  Despachado             5          —               18 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
5                    9          Bloqueado              Bloqueado              8          —               58 Kb     
